location,industrial,logistics,auto,retail,grocery,office,education,health,restaurants,public sector,entertainment,hotel,others,Employee/Residential Population Ratio (per 100 Residents),Latitude,Longitude,Walkscore,distance_to_park,distance_to_transit_station,distance_to_bike_station
"Wardlow, Long Beach",1452,1636,118,1028,229,9658,1295,2463,3958,10439,481,4992,1675,90,33.8198514,-118.1960776,52,0.9 km,2 m,
"Washington, Los Angeles (South Los Angeles)",957,380,436,850,380,2623,1256,1347,1125,9203,422,85,781,49,36.0520357,-94.1896943,53,1.0 km,0.2 km,0.2 km
"Westchester Veterans, Inglewood (Westchester)",446,13343,146,811,667,2314,1435,757,1246,563,309,394,912,202,33.962,-118.374579,80,1.4 km,0.6 km,0.6 km
"Westlake MacArthur Park, Los Angeles (Westlake)",1205,1163,313,3213,834,16668,4314,7874,3267,2626,770,980,4678,37,34.05674,-118.2754786,95,0.1 km,55 m,2 m
"Westwood Rancho Park, Los Angeles (Rancho Park)",1995,514,316,1502,375,5435,848,1051,1393,153,559,67,1522,46,34.0368181,-118.4245788,75,0.4 km,3 m,3 m
"Willowbrook Rosa Parks, Willowbrook",1281,748,119,200,133,347,1230,1037,299,1234,67,6,560,16,33.9282894,-118.238374,75,0.3 km,0.2 km,1 m
"Willow Street, Long Beach",9,10,4,5,2,15,0,0,1,23,3,3,5,11,33.8066989,-118.1896702,86,0.5 km,0.1 km,84 m
"Wilshire Normandie, Los Angeles (Koreatown)",679,1123,399,778,686,6078,1606,2252,2848,315,289,52,1922,19,34.0614318,-118.3009228,96,0.4 km,15 m,9 m
"Wilshire Vermont, Los Angeles (Koreatown)",1159,1116,307,3040,874,12042,4104,9145,2904,3139,461,251,3635,32,34.0626617,-118.2906103,98,0.9 km,5 m,1 m
"Allapattah, Miami",1303,1434,440,1040,669,1509,777,6729,811,705,205,28,1948,44,25.808706,-80.2154675,77,0.5 km,1 m,1 m
"Brickell, Miami",2752,2149,586,3069,1017,43806,1439,2560,5714,7234,1112,2917,3262,112,25.76708835,-80.18969625,99,0.2 km,85 m,1 m
"Brownsville, Miami",2426,2562,751,809,254,1540,184,849,366,130,51,14,840,63,25.8217642,-80.2411604,65,1.6 km,27 m,27 m
"vic Center, Miami",177,85,136,302,226,1383,1002,294,283,271,133,42,500,32,25.7896904,-80.2150352,85,0.5 km,1 m,1 m
"nut Grove, Miami",2719,699,949,1968,358,8987,2419,2057,1625,583,653,580,1436,89,25.7398164,-80.2388468,86,2.1 km,1 m,1 m
"ulmer, Miami",1329,302,94,789,370,477,393,394,1046,129,7,118,92,122,25.7845569,-80.2075405,68,0.7 km,1 m,1 m
"Dadeland North, Miami",687,604,596,3341,519,8589,746,1326,2389,48,336,619,845,84,25.691956,-80.3051175,78,1.3 km,0.6 km,0.6 km
"Dadeland South, Miami",619,516,885,3045,569,8388,607,1264,2237,52,327,619,791,79,25.6835034,-80.3159348,91,1.0 km,0.7 km,40 m
"Douglas Road, Miami",1253,2176,495,475,61,2420,162,266,1089,1431,124,487,643,93,25.7179821,-80.2532302,43,4.6 km,0.5 km,36 m
"Dr. Martin Luther King Jr. Plaza, Miami",2572,2156,652,1420,478,1463,119,844,541,36,43,29,780,67,25.8323868,-80.2411958,62,0.8 km,1 m,1 m
"Earlington Heights, Miami",371,1036,472,262,172,691,1478,1044,655,472,77,8,555,26,25.8124614,-80.2299699,67,0.6 km,4 m,4 m
"Government Center, Miami",2935,2693,630,3411,1047,43008,2094,3040,6443,10339,2239,2953,3648,94,25.77582575,-80.19645774,90,0.2 km,0.2 km,0.5 km
"Hialeah, Miami",2894,2671,634,3421,1057,39508,2105,3251,6413,10364,1936,2728,3645,87,25.8575963,-80.2781057,72,1.5 km,0.4 km,
"Historic Overtown-Lyric Theatre, Miami",2191,2374,1107,2951,821,28582,2661,2722,4359,10210,2862,2785,3064,99,25.7809166,-80.1962822,90,0.5 km,9 m,8 m
"Miami International Airport, Miami",525,1525,148,238,13,2053,103,169,954,227,58,507,293,846,25.7979241,-80.2586662,28,0.9 km,9 m,9 m
"Northside, Miami",959,492,57,190,40,358,250,159,137,290,82,11,113,93,25.8458214,-80.2488239,71,1.4 km,1 m,1 m
"Okeechobee, Miami",2649,2629,1098,846,75,2305,667,939,908,1502,118,353,802,97,25.8398296,-80.3015392,57,2.9 km,1 m,1 m
"Palmetto, Miami",3054,3483,951,4243,232,3862,1052,1875,1742,234,221,50,1309,141,25.6217715,-80.3247748,17,1.6 km,0.8 km,1 m
"Santa Clara, Miami",1224,1159,282,910,526,9563,2547,13775,1500,540,331,144,1621,116,25.7957871,-80.2152009,85,0.5 km,1 m,1 m
"South Miami, Miami",137,65,27,297,12,4387,351,1053,243,16,93,736,343,59,25.7076017,-80.2933846,81,0.1 km,83 m,0.5 km
"Tri-Rail, Miami",240,59,18,26,6,33,19,32,23,36,11,2,29,31,25.8454673,-80.2596553,66,1.7 km,2 m,2 m
"University, Miami",1508,371,126,748,812,2614,1772,652,1381,339,200,64,835,29,25.71727245,-80.27870688,77,0.1 km,0.4 km,42 m
"Vizcaya, Miami",234,135,125,150,28,2471,475,1620,309,21,224,22,647,43,25.74961625,-80.20566853,53,0.2 km,1.2 km,1.2 km
"103rd Street, New York, New York",1694,867,170,4698,675,4349,2740,4542,2984,9197,710,126,1404,18,40.7902977,-73.9476244,99,0.1 km,13 m,1 m
"103rd Street–Corona Plaza, New York, New York",1730,1016,359,1168,725,2311,2741,2292,2024,710,833,851,1419,10,40.7498871,-73.8626767,97,0.3 km,1 m,1 m
"104th Street, New York, New York",1661,824,153,4416,638,4357,2737,4517,2805,9308,730,126,1506,19,40.6817152,-73.837694,92,0.1 km,1 m,1 m
"110th Street, New York, New York",2124,1003,157,405,87,820,72,1097,213,89,40,18,798,24,40.7947868,-73.9443458,99,0.1 km,1 m,1 m
"111th Street, New York, New York",2151,1030,163,464,103,898,81,1105,230,101,47,22,955,24,40.6844387,-73.8318863,92,0.8 km,1 m,1 m
"116th Street, New York, New York",2315,1113,191,596,120,1099,120,1208,257,167,104,29,1107,27,40.80775585,-73.96164947,97,41 m,0.1 km,25 m
"116th Street–Columbia University, New York, New York",948,779,100,2864,1131,9382,9393,10354,3919,2161,1359,348,7268,30,40.80775585,-73.96164947,97,41 m,0.1 km,25 m
"121st Street, New York, New York",5040,1546,297,1208,241,1936,335,1418,494,513,132,91,2161,55,40.7005266,-73.8283178,92,0.6 km,46 m,5 m
"125th Street, New York, New York",7354,1800,395,1363,345,2237,425,1687,704,586,174,115,2333,55,40.8077529,-73.9455416,99,0.1 km,3 m,3 m
"135th Street, New York, New York",1048,905,445,872,537,6535,2161,8858,1233,1375,234,114,2130,26,40.8141229,-73.9408924,97,0.2 km,,
"137th Street–City College, New York, New York",1682,1016,201,1132,280,1938,391,868,473,269,148,67,2547,24,40.8214204,-73.9541465,97,80 m,7 m,7 m
"138th Street–Grand Concourse, New York, New York",3855,1569,418,3433,1316,9162,6989,17910,3411,7215,925,214,5391,34,40.8131324,-73.929968,88,87 m,9 m,9 m
"145th Street, New York, New York",7333,1224,338,2254,980,6601,1786,7171,2275,635,273,607,3183,39,40.8264999,-73.9504381,99,57 m,2 m,11 m
"149th Street–Grand Concourse, New York, New York",3844,1544,420,3442,1337,9348,6839,17991,3448,7190,931,214,5497,34,40.8183725,-73.9274003,93,13 m,1 m,1 m
"14th Street-Eighth Avenue, New York, New York",3145,2832,341,2757,908,5446,2262,6838,2461,546,1508,295,3178,35,40.7413853,-74.0032719,100,0.2 km,0.1 km,0.3 km
"14th Street-Sixth Avenue, New York, New York",59743,40224,992,85404,4099,583041,19641,59265,45985,9317,25672,22472,64039,457,40.7383575,-73.9992012,100,0.3 km,1 m,1 m
"14th Street–Union Square, New York, New York",23815,10017,489,39466,3350,162534,18062,19761,23622,2449,13377,5197,29804,221,40.7347942,-73.9899805,100,0.1 km,74 m,77 m
"155th Street, New York, New York",834,1353,107,298,102,1086,684,843,494,43,129,0,611,17,40.8308908,-73.9413674,91,0.1 km,30 m,12 m
"157th Street, New York, New York",769,1344,99,269,92,1010,674,782,468,37,112,0,551,19,40.8340678,-73.944916,97,23 m,14 m,14 m
"15th Street–Prospect Park, New York, New York",1719,1547,285,2373,892,4869,2348,4283,1911,118,707,57,3052,13,40.660365,-73.979493,96,0.1 km,0.2 km,0.2 km
"161st Street–Yankee Stadium, New York, New York",3124,1331,389,2635,1402,6423,5682,15702,3024,3103,831,204,3774,21,40.8277271,-73.9256588,95,0.2 km,44 m,44 m
"163rd Street–Amsterdam Avenue, New York, New York",816,1312,165,1621,943,4235,3850,23833,2962,1375,939,376,3145,26,40.8369451,-73.9401256,91,0.2 km,32 m,9 m
"167th Street, New York, New York",844,360,541,396,234,2007,1317,4611,986,9,160,71,1485,21,40.8357244,-73.9212797,95,0.4 km,1 m,1 m
"168th Street, New York, New York",784,408,538,495,238,1901,1227,1434,981,9,158,72,1445,16,40.8409712,-73.9394687,98,0.1 km,16 m,1 m
"169th Street, New York, New York",510,184,33,489,236,1773,1110,1311,796,30,141,203,723,15,40.71047,-73.793604,98,0.5 km,76 m,76 m
"170th Street, New York, New York",751,417,541,524,230,1926,1216,1392,922,9,145,72,1313,16,40.8400335,-73.917815,94,81 m,1 m,1 m
"174th Street, New York, New York",807,315,129,477,206,1741,1578,1041,665,177,161,71,1117,15,40.8459,-73.910136,90,53 m,66 m,23 m
"174th–175th Streets, New York, New York",2396,2330,695,1721,1322,3916,11493,14864,2112,1325,325,46,2856,19,40.8459,-73.910136,90,53 m,66 m,23 m
"175th Street, New York, New York",836,303,160,476,280,1730,1547,1115,696,33,159,71,1130,16,40.8475742,-73.9396291,96,0.2 km,5 m,5 m
"176th Street, New York, New York",888,339,251,601,205,2247,2806,5578,940,375,156,83,1548,25,40.8484815,-73.9117776,87,0.3 km,4 m,4 m
"181st Street, New York, New York",1182,752,659,1532,275,4510,1481,3869,808,1892,80,28,1159,21,40.849301,-73.9337563,95,0.5 km,1 m,1 m
"182nd–183rd Streets, New York, New York",2336,1293,518,2687,1359,4897,12571,12755,2631,984,259,110,3400,19,40.856093,-73.900741,91,0.2 km,42 m,42 m
"183rd Street, New York, New York",592,338,127,489,287,1532,1706,1064,726,0,111,71,1083,16,40.8584149,-73.9038667,91,0.1 km,1 m,1 m
"18th Avenue, New York, New York",1619,2225,181,1787,619,3446,2431,2763,1512,186,134,14,1490,14,40.7410394,-73.9978652,100,0.3 km,1 m,1 m
"18th Street, New York, New York",4670,3282,412,3238,781,5065,2151,6375,2092,565,1022,293,2877,42,40.7410394,-73.9978652,100,0.3 km,1 m,1 m
"190th Street, New York, New York",738,281,493,547,262,1501,1415,2143,872,4,115,63,972,19,40.8591154,-73.9341529,91,78 m,14 m,14 m
"191st Street, New York, New York",908,461,742,564,254,2767,1100,2330,1082,48,117,20,1379,20,40.8552578,-73.9293981,93,0.3 km,41 m,17 m
"207th Street, New York, New York",471,199,44,569,286,1902,1268,1354,887,26,177,245,728,18,40.8644038,-73.9189683,95,0.2 km,2 m,2 m
"20th Avenue, New York, New York",1717,2518,283,1913,631,3588,2490,2922,1566,396,146,44,1564,13,40.61741,-73.985026,92,1.0 km,73 m,13 m
"215th Street, New York, New York",144,88,2,373,181,611,503,851,512,3,149,230,326,19,40.8695689,-73.9151877,92,0.3 km,1 m,2 m
"219th Street, New York, New York",562,315,712,361,244,1943,3027,750,759,272,98,52,923,23,40.8838215,-73.8626982,89,0.9 km,5 m,1 m
"21st Street, New York, New York",4532,2994,401,2996,742,4441,1841,4099,1956,543,966,257,2918,43,40.7542029,-73.942836,95,0.3 km,17 m,17 m
"21st Street–Queensbridge, New York, New York",11053,6441,993,3486,730,11954,3651,15885,2500,1487,1040,800,4477,73,40.7542029,-73.942836,95,0.3 km,17 m,17 m
"225th Street, New York, New York",294,177,570,239,162,1100,2869,414,577,279,53,51,422,18,40.8879866,-73.8603882,93,0.2 km,3 m,3 m
"231st Street, New York, New York",633,311,711,302,158,1663,3048,664,727,301,80,52,706,27,40.8789536,-73.904797,99,0.3 km,1 m,1 m
"233rd Street, New York, New York",162,121,220,130,107,596,2735,561,317,522,117,2,500,19,40.8933832,-73.8574009,93,0.3 km,2 m,2 m
"238th Street, New York, New York",531,161,456,195,78,1183,753,531,390,93,85,23,535,28,40.8849733,-73.900691,96,0.2 km,5 m,5 m
"23rd Street, New York, New York",4472,2928,417,3041,744,4160,1771,2120,1776,517,966,250,2987,40,40.7457871,-73.9996118,99,0.2 km,68 m,1 m
"25th Avenue, New York, New York",926,2115,276,1568,372,1928,1631,1914,1029,560,131,56,753,16,40.5976945,-73.9867923,95,0.4 km,12 m,4 m
"25th Street, New York, New York",4512,2917,406,3079,705,4057,1824,2066,1627,461,912,270,2847,38,40.5996428,-73.7617236,74,0.3 km,22 m,83 m
"28th Street, New York, New York",4402,2374,402,2866,629,3531,1679,1721,1291,442,783,250,2574,34,40.7433137,-73.9840753,100,0.1 km,24 m,19 m
"30th Avenue, New York, New York",4500,2577,1256,3136,893,7372,2240,5139,3896,453,740,58,2942,26,40.75343345,-74.00308131,97,0.3 km,0.2 km,0.2 km
"33rd Street, New York, New York",4576,2633,419,2798,672,3523,1831,1978,1100,455,547,229,2361,31,40.7484311,-73.9856903,99,0.2 km,0.2 km,1 m
"33rd Street–Rawson Street, New York, New York",11632,6629,1241,3997,803,9821,3372,3736,2877,1124,989,609,3466,54,40.7446199,-73.9312304,95,0.2 km,1 m,2 m
"34th Street–Herald Square, New York, New York",59739,40306,1096,85606,4056,600144,19595,52561,46784,9221,25979,23467,64205,458,40.749567,-73.98795,99,62 m,46 m,3 m
"34th Street–Hudson Yards†, New York, New York",36215,25009,1200,61417,2706,297095,10931,20708,29864,3627,18911,13719,40135,422,40.754533,-73.9990119,98,0.2 km,4 m,1 m
"34th Street–Penn Station, New York, New York",4690,2062,286,3165,1329,9488,5699,5475,2770,630,747,226,3335,22,40.7500792,-73.9913481,99,0.2 km,70 m,23 m
"36th Avenue, New York, New York",481,155,233,143,63,966,596,488,349,70,71,26,459,27,40.655144,-74.003549,94,0.2 km,0.1 km,1 m
"36th Street, New York, New York",3102,2787,353,2843,713,8274,3800,11495,1232,289,345,239,4253,24,40.655144,-74.003549,94,0.2 km,0.1 km,1 m
"39th Avenue, New York, New York",538,163,471,208,79,1201,1018,564,379,91,89,15,544,30,40.7526866,-73.9329357,96,0.2 km,1 m,1 m
"40th Street–Lowery Street, New York, New York",9422,5343,756,3278,540,5297,2122,3018,1919,4064,326,195,1827,55,40.7438431,-73.9244296,98,0.4 km,6 m,6 m
"47th–50th Streets–Rockefeller Center, New York, New York",4843,2118,373,3153,561,12217,1440,5581,1288,785,496,56,2048,38,40.758663,-73.981329,100,0.1 km,25 m,16 m
"49th Street, New York, New York",3923,3178,571,4069,969,9837,5140,13156,1452,338,481,302,4058,24,40.759901,-73.984139,99,0.1 km,82 m,1 m
"50th Street, New York, New York",3969,3195,581,4078,980,11068,5296,13561,1437,341,476,300,4060,24,40.753314,-73.964811,96,29 m,0.2 km,18 m
"52nd Street, New York, New York",4025,3206,651,4102,1069,11224,5313,13430,1492,342,484,298,4117,24,40.7598492,-73.9763999,97,0.1 km,12 m,1 m
"53rd Street, New York, New York",4036,3209,651,4117,1095,11223,5302,13457,1498,344,486,298,4119,24,40.7654274,-73.9877173,99,0.3 km,0.1 km,12 m
"55th Street, New York, New York",3821,3033,615,3948,1100,10852,5461,13444,1530,357,483,288,4121,24,40.7609986,-73.9733102,99,49 m,17 m,17 m
"57th Street, New York, New York",3380,2433,588,3762,1104,9961,5183,12833,1587,358,477,263,4001,22,40.7573131,-73.9605439,98,0.1 km,21 m,25 m
"57th Street–Seventh Avenue, New York, New York",28580,13255,617,48042,3861,191422,28342,36872,30588,3057,15566,6373,34075,215,40.7646501,-73.9806228,99,0.2 km,37 m,7 m
"59th Street, New York, New York",3153,2066,530,3632,1046,9463,4584,12038,1591,343,417,257,3819,22,40.7603396,-73.9636948,100,79 m,0.2 km,11 m
"59th Street–Columbus Circle, New York, New York",22116,15192,2238,47984,3968,389626,13625,22604,32366,4679,20372,22114,37007,336,40.7683815,-73.9819162,99,62 m,36 m,5 m
"61st Street–Woodside, New York, New York",4496,1599,699,2028,948,4233,1980,4136,1933,6278,347,149,1823,25,40.7456359,-73.9030518,98,0.2 km,16 m,16 m
"62nd Street-New Utrecht Avenue, New York, New York",2654,1836,291,2179,720,5521,4647,3412,1444,328,141,202,2116,16,40.626472,-73.996895,79,0.8 km,48 m,0.1 km
"63rd Drive–Rego Park, New York, New York",957,620,126,4922,538,5140,2062,4890,2735,8889,377,43,1705,22,40.730043,-73.8616485,98,0.5 km,1 m,1 m
"65th Street, New York, New York",16733,9192,1782,40097,4391,308344,14907,29512,26995,4408,19056,17897,34157,233,40.7723353,-73.978539,93,0.3 km,20 m,20 m
"66th Street–Lincoln Center, New York, New York",7039,3718,1912,18380,3209,148580,11231,12255,18064,2273,14092,12823,18410,158,40.7725333,-73.9822518,99,81 m,0.1 km,86 m
"67th Avenue, New York, New York",133,105,310,139,29,526,2560,817,167,659,192,2,651,21,40.7267968,-73.8532472,95,0.1 km,0.1 km,0.1 km
"68th Street–Hunter College, New York, New York",12427,5796,430,31681,3542,226262,9957,45260,21532,3061,11439,13717,26774,181,40.7678782,-73.9641187,98,63 m,14 m,14 m
"69th Street, New York, New York",2067,1686,1062,2538,1056,7236,3176,6637,2658,728,476,61,2866,18,40.7690869,-73.9647239,98,0.3 km,0.1 km,16 m
"71st Street, New York, New York",2606,1592,799,2104,889,7639,3487,5289,1591,480,297,258,2217,19,40.6193283,-73.9989445,91,0.1 km,34 m,14 m
"72nd Street, New York, New York",2537,1437,789,2050,863,7477,3301,5672,1638,490,311,258,2039,19,40.7762402,-73.9760123,97,0.1 km,1 m,1 m
"75th Avenue, New York, New York",855,568,69,1278,512,5598,1774,4599,1592,1576,467,195,2002,25,40.718331,-73.837324,98,0.8 km,,
"75th Street–Elderts Lane, New York, New York",1142,861,307,838,666,1942,2234,1826,1137,29,171,24,1116,9,40.691321,-73.8672547,82,0.6 km,6 m,1 m
"77th Street, New York, New York",2183,1231,775,1906,772,4925,2986,3929,1562,455,279,45,1922,17,40.7736528,-73.9598437,97,0.3 km,1 m,1 m
"79th Street, New York, New York",3851,2929,266,12422,3872,31437,11652,26589,13276,1465,10396,2339,15124,49,40.7838618,-73.9799918,100,8 m,2 m,8 m
"80th Street, New York, New York",1801,1234,746,1369,788,4201,2427,5309,1544,324,292,58,1857,17,40.6793809,-73.8589845,86,0.3 km,3 m,3 m
"81st Street–Museum of Natural History, New York, New York",5410,1796,142,8011,2675,20704,11015,16335,9283,1048,11121,1322,11398,48,40.7817835,-73.9719225,95,0.2 km,19 m,19 m
"82nd Street–Jackson Heights, New York, New York",2076,2020,788,2340,850,5553,3581,6934,3314,924,312,116,2107,14,40.7476192,-73.8841432,100,0.2 km,18 m,8 m
"85th Street–Forest Parkway, New York, New York",1648,1014,155,1343,561,1668,2126,753,1096,35,90,0,1192,14,40.6924432,-73.8599369,91,0.6 km,73 m,0.1 km
"86th Street, New York, New York",1459,1277,929,1308,656,4106,2267,8329,1748,397,450,91,1904,22,40.7883389,-73.9765049,100,18 m,14 m,18 m
